Lexeme                         Line  Token name                     Value      Parent                         Leaf?    Non terminal symbol           
c4bbb                          13    TK_ID                          0.00       <SingleOrRecId>                yes      ---                           
---                            -1    <SingleOrRecId>                0.00       <var>                          no       <SingleOrRecId>               
0                              0     TK_EPS                         0.00       <option_single_constructed>    yes      ---                           
---                            -1    <option_single_constructed>    0.00       <SingleOrRecId>                no       <option_single_constructed>   
---                            -1    <var>                          0.00       <booleanExpression>            no       <var>                         
---                            -1    <booleanExpression>            0.00       <booleanExpression>            no       <booleanExpression>           
>                              13    TK_GT                          0.00       <relationalOp>                 yes      ---                           
---                            -1    <relationalOp>                 0.00       <booleanExpression>            no       <relationalOp>                
78.559998                      13    TK_RNUM                        78.56      <var>                          yes      ---                           
---                            -1    <var>                          0.00       <booleanExpression>            no       <var>                         
)                              13    TK_CL                          0.00       <booleanExpression>            yes      ---                           
)                              13    TK_CL                          0.00       <conditionalStmt>              yes      ---                           
then                           14    TK_THEN                        0.00       <conditionalStmt>              yes      ---                           
c6                             15    TK_ID                          0.00       <SingleOrRecId>                yes      ---                           
---                            -1    <SingleOrRecId>                0.00       <assignmentStmt>               no       <SingleOrRecId>               
0                              0     TK_EPS                         0.00       <option_single_constructed>    yes      ---                           
---                            -1    <option_single_constructed>    0.00       <SingleOrRecId>                no       <option_single_constructed>   
---                            -1    <assignmentStmt>               0.00       <stmt>                         no       <assignmentStmt>              
<---                           15    TK_ASSIGNOP                    0.00       <assignmentStmt>               yes      ---                           
d4cbcd5677                     15    TK_ID                          0.00       <SingleOrRecId>                yes      ---                           
---                            -1    <SingleOrRecId>                0.00       <var>                          no       <SingleOrRecId>               
0                              0     TK_EPS                         0.00       <option_single_constructed>    yes      ---                           
---                            -1    <option_single_constructed>    0.00       <SingleOrRecId>                no       <option_single_constructed>   
---                            -1    <var>                          0.00       <factor>                       no       <var>                         
---                            -1    <factor>                       0.00       <term>                         no       <factor>                      
---                            -1    <term>                         0.00       <arithmeticExpression>         no       <term>                        
/                              15    TK_DIV                         0.00       <highPrecedenceOperator>       yes      ---                           
---                            -1    <highPrecedenceOperator>       0.00       <termPrime>                    no       <highPrecedenceOperator>      
---                            -1    <termPrime>                    0.00       <term>                         no       <termPrime>                   
c4bbb                          15    TK_ID                          0.00       <SingleOrRecId>                yes      ---                           
---                            -1    <SingleOrRecId>                0.00       <var>                          no       <SingleOrRecId>               
0                              0     TK_EPS                         0.00       <option_single_constructed>    yes      ---                           
---                            -1    <option_single_constructed>    0.00       <SingleOrRecId>                no       <option_single_constructed>   
---                            -1    <var>                          0.00       <factor>                       no       <var>                         
---                            -1    <factor>                       0.00       <termPrime>                    no       <factor>                      
0                              0     TK_EPS                         0.00       <termPrime>                    yes      ---                           
---                            -1    <termPrime>                    0.00       <termPrime>                    no       <termPrime>                   
---                            -1    <arithmeticExpression>         0.00       <assignmentStmt>               no       <arithmeticExpression>        
0                              0     TK_EPS                         0.00       <expPrime>                     yes      ---                           
---                            -1    <expPrime>                     0.00       <arithmeticExpression>         no       <expPrime>                    
else                           16    TK_SEM                         0.00       <assignmentStmt>               yes      ---                           
---                            -1    <stmt>                         0.00       <conditionalStmt>              no       <stmt>                        
0                              0     TK_EPS                         0.00       <otherStmts>                   yes      ---                           
---                            -1    <otherStmts>                   0.00       <conditionalStmt>              no       <otherStmts>                  
else                           16    TK_ELSE                        0.00       <elsePart>                     yes      ---                           
---                            -1    <elsePart>                     0.00       <conditionalStmt>              no       <elsePart>                    
write                          17    TK_WRITE                       0.00       <ioStmt>                       yes      ---                           
---                            -1    <ioStmt>                       0.00       <stmt>                         no       <ioStmt>                      
(                              17    TK_OP                          0.00       <ioStmt>                       yes      ---                           
c4bbb                          17    TK_ID                          0.00       <SingleOrRecId>                yes      ---                           
---                            -1    <SingleOrRecId>                0.00       <var>                          no       <SingleOrRecId>               
0                              0     TK_EPS                         0.00       <option_single_constructed>    yes      ---                           
---                            -1    <option_single_constructed>    0.00       <SingleOrRecId>                no       <option_single_constructed>   
---                            -1    <var>                          0.00       <ioStmt>                       no       <var>                         
)                              17    TK_CL                          0.00       <ioStmt>                       yes      ---                           
;                              17    TK_SEM                         0.00       <ioStmt>                       yes      ---                           
---                            -1    <stmt>                         0.00       <elsePart>                     no       <stmt>                        
0                              0     TK_EPS                         0.00       <otherStmts>                   yes      ---                           
---                            -1    <otherStmts>                   0.00       <elsePart>                     no       <otherStmts>                  
endif                          18    TK_ENDIF                       0.00       <elsePart>                     yes      ---                           
---                            -1    <stmt>                         0.00       <otherStmts>                   no       <stmt>                        
---                            -1    <otherStmts>                   0.00       <otherStmts>                   no       <otherStmts>                  
0                              0     TK_EPS                         0.00       <otherStmts>                   yes      ---                           
---                            -1    <otherStmts>                   0.00       <otherStmts>                   no       <otherStmts>                  
return                         19    TK_RETURN                      0.00       <returnStmt>                   yes      ---                           
---                            -1    <returnStmt>                   0.00       <stmts>                        no       <returnStmt>                  
0                              0     TK_EPS                         0.00       <optionalReturn>               yes      ---                           
---                            -1    <optionalReturn>               0.00       <returnStmt>                   no       <optionalReturn>              
;                              19    TK_SEM                         0.00       <returnStmt>                   yes      ---                           
end                            20    TK_END                         0.00       <function>                     yes      ---                           
---                            -1    <otherFunctions>               0.00       <program>                      no       <otherFunctions>              
0                              0     TK_EPS                         0.00       <otherFunctions>               yes      ---                           
---                            -1    <otherFunctions>               0.00       <otherFunctions>               no       <otherFunctions>              
---                            -1    <program>                      0.00       ROOT                           no       <program>                     
_main                          24    TK_MAIN                        0.00       <mainFunction>                 yes      ---                           
---                            -1    <mainFunction>                 0.00       <program>                      no       <mainFunction>                
0                              0     TK_EPS                         0.00       <typeDefinitions>              yes      ---                           
---                            -1    <typeDefinitions>              0.00       <stmts>                        no       <typeDefinitions>             
---                            -1    <stmts>                        0.00       <mainFunction>                 no       <stmts>                       
type                           25    TK_TYPE                        0.00       <declaration>                  yes      ---                           
---                            -1    <declaration>                  0.00       <declarations>                 no       <declaration>                 
int                            25    TK_INT                         0.00       <primitiveDatatype>            yes      ---                           
---                            -1    <primitiveDatatype>            0.00       <dataType>                     no       <primitiveDatatype>           
---                            -1    <dataType>                     0.00       <declaration>                  no       <dataType>                    
b5                             25    TK_COLON                       0.00       <declaration>                  yes      ---                           
b5                             25    TK_ID                          0.00       <declaration>                  yes      ---                           
0                              0     TK_EPS                         0.00       <global_or_not>                yes      ---                           
---                            -1    <global_or_not>                0.00       <declaration>                  no       <global_or_not>               
;                              25    TK_SEM                         0.00       <declaration>                  yes      ---                           
---                            -1    <declarations>                 0.00       <stmts>                        no       <declarations>                
type                           26    TK_TYPE                        0.00       <declaration>                  yes      ---                           
---                            -1    <declaration>                  0.00       <declarations>                 no       <declaration>                 
